[GC (System.gc())  8149K->1928K(22528K), 0.0024036 secs]
[Full GC (System.gc())  1928K->1722K(22528K), 0.0099620 secs]
[GC (Allocation Failure) -- 14010K->20474K(22528K), 0.0245724 secs]
[Full GC (Ergonomics)  20474K->13837K(22528K), 0.0699763 secs]
[GC (Allocation Failure) -- 20274K->20474K(22528K), 0.0115697 secs]
[Full GC (Ergonomics)  20474K->4397K(22528K), 0.0225680 secs]
[GC (Allocation Failure) -- 16685K->20477K(22528K), 0.0353515 secs]
[Full GC (Ergonomics)  20477K->16679K(22528K), 0.0547067 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0111718 secs]
[Full GC (Ergonomics)  20479K->4548K(22528K), 0.0092690 secs]
[GC (Allocation Failure) -- 16836K->20476K(22528K), 0.0276909 secs]
[Full GC (Ergonomics)  20476K->16824K(22528K), 0.0535303 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0116674 secs]
[Full GC (Ergonomics)  20474K->4553K(22528K), 0.0096860 secs]
[GC (Allocation Failure) -- 16841K->20473K(22528K), 0.0320655 secs]
[Full GC (Ergonomics)  20473K->16828K(22528K), 0.0568106 secs]
[GC (Allocation Failure) -- 20422K->20478K(22528K), 0.0094759 secs]
[Full GC (Ergonomics)  20478K->4548K(22528K), 0.0100970 secs]
[GC (Allocation Failure) -- 16836K->20476K(22528K), 0.0264522 secs]
[Full GC (Ergonomics)  20476K->16821K(22528K), 0.0513472 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0099830 secs]
[Full GC (Ergonomics)  20473K->4549K(22528K), 0.0107482 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0269806 secs]
[Full GC (Ergonomics)  20477K->16823K(22528K), 0.0503473 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0101337 secs]
[Full GC (Ergonomics)  20473K->4552K(22528K), 0.0115189 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0272142 secs]
[Full GC (Ergonomics)  20472K->16837K(22528K), 0.0553709 secs]
[GC (Allocation Failure) -- 20471K->20479K(22528K), 0.0119514 secs]
[Full GC (Ergonomics)  20479K->4598K(22528K), 0.0119554 secs]
[GC (Allocation Failure) -- 16886K->20478K(22528K), 0.0306968 secs]
[Full GC (Ergonomics)  20478K->16875K(22528K), 0.0559934 secs]
[GC (Allocation Failure) -- 20428K->20476K(22528K), 0.0128606 secs]
[Full GC (Ergonomics)  20476K->4556K(22528K), 0.0112706 secs]
