Buffer size: 65536; Object size: 192; Weak refs for all: false
[GC (System.gc())  8150K->1864K(22528K), 0.0026281 secs]
[Full GC (System.gc())  1864K->1728K(22528K), 0.0101283 secs]
[GC (Allocation Failure)  14016K->3584K(22528K), 0.0177114 secs]
[GC (Allocation Failure)  15872K->3048K(22528K), 0.0136830 secs]
[GC (Allocation Failure)  15336K->2640K(22528K), 0.0092488 secs]
[GC (Allocation Failure)  14928K->2256K(22528K), 0.0054976 secs]
[GC (Allocation Failure)  14544K->3984K(22528K), 0.0240522 secs]
[GC (Allocation Failure)  16272K->3952K(22528K), 0.0172309 secs]
[GC (Allocation Failure)  16240K->3536K(22528K), 0.0171907 secs]
[GC (Allocation Failure)  15824K->3152K(22528K), 0.0088746 secs]
[GC (Allocation Failure)  15440K->2736K(22528K), 0.0047489 secs]
[GC (Allocation Failure)  15024K->4384K(22528K), 0.0274839 secs]
[GC (Allocation Failure)  16672K->4352K(22528K), 0.0243974 secs]
[GC (Allocation Failure)  16640K->4000K(22528K), 0.0170178 secs]
[GC (Allocation Failure)  16288K->3584K(22528K), 0.0096775 secs]
[GC (Allocation Failure)  15872K->3136K(22528K), 0.0049542 secs]
[GC (Allocation Failure)  15424K->4864K(22528K), 0.0212797 secs]
[GC (Allocation Failure)  17152K->4736K(22528K), 0.0177466 secs]
[GC (Allocation Failure)  17024K->4352K(22528K), 0.0171429 secs]
[GC (Allocation Failure)  16640K->3968K(22528K), 0.0096974 secs]
[GC (Allocation Failure)  16256K->3552K(22528K), 0.0043023 secs]
[GC (Allocation Failure)  15840K->5280K(22528K), 0.0193597 secs]
[GC (Allocation Failure)  17568K->5184K(22528K), 0.0200593 secs]
[GC (Allocation Failure)  17472K->4768K(22528K), 0.0141313 secs]
[GC (Allocation Failure)  17056K->4384K(22528K), 0.0095886 secs]
[GC (Allocation Failure)  16672K->3968K(22528K), 0.0046980 secs]
[GC (Allocation Failure)  16256K->5600K(22528K), 0.0271084 secs]
[GC (Allocation Failure)  17888K->5632K(22528K), 0.0230994 secs]
[GC (Allocation Failure)  17920K->5216K(22528K), 0.0135343 secs]
[GC (Allocation Failure)  17504K->4768K(22528K), 0.0090547 secs]
[GC (Allocation Failure)  17056K->4320K(22528K), 0.0049661 secs]
[GC (Allocation Failure)  16608K->6144K(22528K), 0.0252314 secs]
[GC (Allocation Failure)  18432K->6080K(22528K), 0.0207658 secs]
[GC (Allocation Failure)  18368K->5568K(22528K), 0.0168880 secs]
[GC (Allocation Failure)  17856K->5184K(22528K), 0.0086897 secs]
[GC (Allocation Failure)  17472K->4768K(22528K), 0.0047228 secs]
[GC (Allocation Failure)  17056K->6432K(22528K), 0.0240523 secs]
[GC (Allocation Failure)  18720K->6464K(22528K), 0.0202563 secs]
[GC (Allocation Failure)  18752K->5984K(22528K), 0.0154921 secs]
[GC (Allocation Failure)  18272K->5632K(22528K), 0.0093082 secs]
[GC (Allocation Failure)  17920K->5184K(22528K), 0.0050575 secs]
[GC (Allocation Failure)  17472K->6888K(22528K), 0.0218185 secs]
[GC (Allocation Failure)  19176K->6792K(22528K), 0.0223975 secs]
[GC (Allocation Failure)  19080K->6408K(22528K), 0.0175170 secs]
[GC (Allocation Failure)  18696K->6024K(22528K), 0.0109742 secs]
[GC (Allocation Failure)  18312K->5544K(22528K), 0.0046252 secs]
[GC (Allocation Failure)  17832K->7208K(22528K), 0.0208191 secs]
[GC (Allocation Failure)  19496K->7208K(22528K), 0.0218036 secs]
[GC (Allocation Failure)  19496K->6824K(22528K), 0.0171996 secs]
[GC (Allocation Failure)  19112K->6376K(22528K), 0.0074957 secs]
[GC (Allocation Failure)  18664K->5960K(22528K), 0.0047250 secs]
[GC (Allocation Failure)  18248K->7656K(22528K), 0.0202843 secs]
[GC (Allocation Failure)  19944K->7624K(22528K), 0.0243368 secs]
[GC (Allocation Failure)  19912K->7176K(22528K), 0.0122650 secs]
[GC (Allocation Failure)  19464K->6696K(22528K), 0.0089063 secs]
