Buffer size: 65536; Object size: 192; Weak refs for all: true
[GC (System.gc())  8149K->1944K(22528K), 0.0022052 secs]
[Full GC (System.gc())  1944K->1728K(22528K), 0.0100050 secs]
[GC (Allocation Failure)  14016K->3424K(22528K), 0.0215990 secs]
[GC (Allocation Failure)  15712K->3928K(22528K), 0.0162618 secs]
[GC (Allocation Failure)  16216K->3536K(22528K), 0.0119524 secs]
[GC (Allocation Failure)  15824K->3112K(22528K), 0.0066439 secs]
[GC (Allocation Failure)  15400K->4800K(22528K), 0.0315698 secs]
[GC (Allocation Failure)  17088K->4864K(22528K), 0.0234333 secs]
[GC (Allocation Failure)  17152K->4416K(22528K), 0.0175750 secs]
[GC (Allocation Failure)  16704K->4032K(22528K), 0.0113586 secs]
[GC (Allocation Failure)  16320K->3552K(22528K), 0.0057766 secs]
[GC (Allocation Failure)  15840K->5264K(22528K), 0.0297853 secs]
[GC (Allocation Failure)  17552K->5264K(22528K), 0.0234621 secs]
[GC (Allocation Failure)  17552K->4848K(22528K), 0.0178206 secs]
[GC (Allocation Failure)  17136K->4400K(22528K), 0.0127128 secs]
[GC (Allocation Failure)  16688K->3984K(22528K), 0.0058045 secs]
[GC (Allocation Failure)  16272K->5664K(22528K), 0.0278751 secs]
[GC (Allocation Failure)  17952K->5632K(22528K), 0.0250731 secs]
[GC (Allocation Failure)  17920K->5248K(22528K), 0.0179759 secs]
[GC (Allocation Failure)  17536K->4832K(22528K), 0.0118319 secs]
[GC (Allocation Failure)  17120K->4416K(22528K), 0.0057679 secs]
[GC (Allocation Failure)  16704K->6056K(22528K), 0.0286201 secs]
[GC (Allocation Failure)  18344K->6120K(22528K), 0.0219268 secs]
[GC (Allocation Failure)  18408K->5704K(22528K), 0.0179499 secs]
[GC (Allocation Failure)  17992K->5224K(22528K), 0.0104985 secs]
[GC (Allocation Failure)  17512K->4840K(22528K), 0.0049905 secs]
[GC (Allocation Failure)  17128K->6472K(22528K), 0.0275451 secs]
[GC (Allocation Failure)  18760K->6472K(22528K), 0.0225796 secs]
[GC (Allocation Failure)  18760K->6088K(22528K), 0.0156331 secs]
[GC (Allocation Failure)  18376K->5640K(22528K), 0.0106502 secs]
[GC (Allocation Failure)  17928K->5224K(22528K), 0.0051777 secs]
[GC (Allocation Failure)  17512K->6880K(22528K), 0.0229705 secs]
[GC (Allocation Failure)  19168K->6944K(22528K), 0.0224694 secs]
[GC (Allocation Failure)  19232K->6528K(22528K), 0.0167434 secs]
[GC (Allocation Failure)  18816K->6048K(22528K), 0.0101351 secs]
[GC (Allocation Failure)  18336K->5632K(22528K), 0.0053801 secs]
[GC (Allocation Failure)  17920K->7352K(22528K), 0.0273838 secs]
[GC (Allocation Failure)  19640K->7288K(22528K), 0.0233822 secs]
[GC (Allocation Failure)  19576K->6872K(22528K), 0.0202844 secs]
[GC (Allocation Failure)  19160K->6424K(22528K), 0.0120983 secs]
[GC (Allocation Failure)  18712K->6072K(22528K), 0.0058602 secs]
[GC (Allocation Failure)  18360K->7744K(22528K), 0.0316206 secs]
[GC (Allocation Failure)  20032K->7680K(22528K), 0.0238257 secs]
[GC (Allocation Failure)  19968K->7296K(22528K), 0.0178398 secs]
[GC (Allocation Failure)  19584K->6848K(22528K), 0.0116567 secs]
[GC (Allocation Failure)  19136K->6400K(22528K), 0.0052922 secs]
[GC (Allocation Failure)  18688K->8104K(22528K), 0.0305996 secs]
[GC (Allocation Failure)  20392K->8072K(22528K), 0.0248310 secs]
[GC (Allocation Failure)  20360K->7592K(22528K), 0.0181444 secs]
[GC (Allocation Failure)  19880K->7240K(22528K), 0.0104498 secs]
[GC (Allocation Failure)  19528K->6792K(22528K), 0.0051122 secs]
[GC (Allocation Failure)  19080K->8456K(22528K), 0.0271441 secs]
[GC (Allocation Failure)  20744K->8424K(22528K), 0.0206464 secs]
[GC (Allocation Failure)  20712K->7976K(22528K), 0.0152628 secs]
[GC (Allocation Failure)  20264K->7592K(22528K), 0.0099379 secs]
[GC (Allocation Failure)  19880K->7144K(22528K), 0.0052392 secs]
[GC (Allocation Failure)  19432K->8896K(22528K), 0.0287885 secs]
[GC (Allocation Failure)  21184K->8800K(22528K), 0.0223196 secs]
[GC (Allocation Failure)  21088K->8384K(22528K), 0.0155741 secs]
[GC (Allocation Failure)  20672K->7968K(22528K), 0.0103651 secs]
[GC (Allocation Failure)  20256K->7584K(22528K), 0.0048758 secs]
[GC (Allocation Failure)  19872K->9224K(22528K), 0.0310810 secs]
[Full GC (Ergonomics)  9224K->3553K(22528K), 0.0235106 secs]
[GC (Allocation Failure)  15841K->5281K(22528K), 0.0253916 secs]
[GC (Allocation Failure)  17569K->4897K(22528K), 0.0169478 secs]
[GC (Allocation Failure)  17185K->4481K(22528K), 0.0104695 secs]
[GC (Allocation Failure)  16769K->3969K(22528K), 0.0048115 secs]
[GC (Allocation Failure)  16257K->5737K(22528K), 0.0281345 secs]
[GC (Allocation Failure)  18025K->5577K(22528K), 0.0205110 secs]
[GC (Allocation Failure)  17865K->5225K(22528K), 0.0136253 secs]
[GC (Allocation Failure)  17513K->4809K(22528K), 0.0091386 secs]
[GC (Allocation Failure)  17097K->4361K(22528K), 0.0042695 secs]
[GC (Allocation Failure)  16649K->6073K(22528K), 0.0259313 secs]
[GC (Allocation Failure)  18361K->6009K(22528K), 0.0216560 secs]
[GC (Allocation Failure)  18297K->5529K(22528K), 0.0153968 secs]
[GC (Allocation Failure)  17817K->5177K(22528K), 0.0089405 secs]
[GC (Allocation Failure)  17465K->4761K(22528K), 0.0048527 secs]
[GC (Allocation Failure)  17049K->6393K(22528K), 0.0265771 secs]
[GC (Allocation Failure)  18681K->6329K(22528K), 0.0210304 secs]
[GC (Allocation Failure)  18617K->5945K(22528K), 0.0149258 secs]
[GC (Allocation Failure)  18233K->5529K(22528K), 0.0091400 secs]
[GC (Allocation Failure)  17817K->5113K(22528K), 0.0039756 secs]
[GC (Allocation Failure)  17401K->6745K(22528K), 0.0271888 secs]
[GC (Allocation Failure)  19033K->6713K(22528K), 0.0225088 secs]
[GC (Allocation Failure)  19001K->6297K(22528K), 0.0167436 secs]
[GC (Allocation Failure)  18585K->5785K(22528K), 0.0096630 secs]
[GC (Allocation Failure)  18073K->5401K(22528K), 0.0048897 secs]
[GC (Allocation Failure)  17689K->7065K(22528K), 0.0264053 secs]
[GC (Allocation Failure)  19353K->7001K(22528K), 0.0216158 secs]
[GC (Allocation Failure)  19289K->6649K(22528K), 0.0147883 secs]
[GC (Allocation Failure)  18937K->6201K(22528K), 0.0096481 secs]
[GC (Allocation Failure)  18489K->5785K(22528K), 0.0042929 secs]
[GC (Allocation Failure)  18073K->7505K(22528K), 0.0254676 secs]
[GC (Allocation Failure)  19793K->7313K(22528K), 0.0209497 secs]
[GC (Allocation Failure)  19601K->6993K(22528K), 0.0148414 secs]
[GC (Allocation Failure)  19281K->6577K(22528K), 0.0090764 secs]
[GC (Allocation Failure)  18865K->6097K(22528K), 0.0038567 secs]
[GC (Allocation Failure)  18385K->7841K(22528K), 0.0261080 secs]
[GC (Allocation Failure)  20129K->7649K(22528K), 0.0207624 secs]
[GC (Allocation Failure)  19937K->7265K(22528K), 0.0143525 secs]
[GC (Allocation Failure)  19553K->6913K(22528K), 0.0090419 secs]
[GC (Allocation Failure)  19201K->6465K(22528K), 0.0045962 secs]
[GC (Allocation Failure)  18753K->8073K(22528K), 0.0249864 secs]
[GC (Allocation Failure)  20361K->8073K(22528K), 0.0184059 secs]
[GC (Allocation Failure)  20361K->7593K(22528K), 0.0141482 secs]
[GC (Allocation Failure)  19881K->7145K(22528K), 0.0090131 secs]
[GC (Allocation Failure)  19433K->6729K(22528K), 0.0038794 secs]
[GC (Allocation Failure)  19017K->8489K(22528K), 0.0239865 secs]
[GC (Allocation Failure)  20777K->8361K(22528K), 0.0215496 secs]
[GC (Allocation Failure)  20649K->7945K(22528K), 0.0142773 secs]
[GC (Allocation Failure)  20233K->7497K(22528K), 0.0093806 secs]
[GC (Allocation Failure)  19785K->7049K(22528K), 0.0035004 secs]
[GC (Allocation Failure)  19337K->8737K(22528K), 0.0238514 secs]
[GC (Allocation Failure)  21025K->8673K(22528K), 0.0196667 secs]
[GC (Allocation Failure)  20961K->8225K(22528K), 0.0153650 secs]
[GC (Allocation Failure)  20513K->7809K(22528K), 0.0088371 secs]
[GC (Allocation Failure)  20097K->7361K(22528K), 0.0044295 secs]
[GC (Allocation Failure)  19649K->9121K(22528K), 0.0241520 secs]
[GC (Allocation Failure)  21409K->8961K(22528K), 0.0203324 secs]
[GC (Allocation Failure)  21249K->8545K(22528K), 0.0139955 secs]
[GC (Allocation Failure)  20833K->8065K(22528K), 0.0086823 secs]
[GC (Allocation Failure)  20353K->7713K(22528K), 0.0033073 secs]
[GC (Allocation Failure)  20001K->9297K(22528K), 0.0231340 secs]
[Full GC (Ergonomics)  9297K->3483K(22528K), 0.0232490 secs]
[GC (Allocation Failure)  15771K->5083K(22528K), 0.0223734 secs]
[GC (Allocation Failure)  17371K->4731K(22528K), 0.0134023 secs]
[GC (Allocation Failure)  17019K->4315K(22528K), 0.0078549 secs]
[GC (Allocation Failure)  16603K->3931K(22528K), 0.0037148 secs]
[GC (Allocation Failure)  16219K->5483K(22528K), 0.0240811 secs]
[GC (Allocation Failure)  17771K->5451K(22528K), 0.0198257 secs]
[GC (Allocation Failure)  17739K->5003K(22528K), 0.0139657 secs]
[GC (Allocation Failure)  17291K->4555K(22528K), 0.0083428 secs]
[GC (Allocation Failure)  16843K->4171K(22528K), 0.0036912 secs]
[GC (Allocation Failure)  16459K->5851K(22528K), 0.0247818 secs]
[GC (Allocation Failure)  18139K->5691K(22528K), 0.0194474 secs]
[GC (Allocation Failure)  17979K->5307K(22528K), 0.0153513 secs]
[GC (Allocation Failure)  17595K->4923K(22528K), 0.0094837 secs]
[GC (Allocation Failure)  17211K->4475K(22528K), 0.0042318 secs]
[GC (Allocation Failure)  16763K->6203K(22528K), 0.0279284 secs]
[GC (Allocation Failure)  18491K->5947K(22528K), 0.0229128 secs]
[GC (Allocation Failure)  18235K->5563K(22528K), 0.0170389 secs]
[GC (Allocation Failure)  17851K->5179K(22528K), 0.0106015 secs]
[GC (Allocation Failure)  17467K->4731K(22528K), 0.0041885 secs]
[GC (Allocation Failure)  17019K->6435K(22528K), 0.0286075 secs]
[GC (Allocation Failure)  18723K->6339K(22528K), 0.0205793 secs]
[GC (Allocation Failure)  18627K->5923K(22528K), 0.0145231 secs]
[GC (Allocation Failure)  18211K->5443K(22528K), 0.0087966 secs]
[GC (Allocation Failure)  17731K->5059K(22528K), 0.0035782 secs]
[GC (Allocation Failure)  17347K->6715K(22528K), 0.0273949 secs]
[GC (Allocation Failure)  19003K->6587K(22528K), 0.0235886 secs]
[GC (Allocation Failure)  18875K->6171K(22528K), 0.0161585 secs]
[GC (Allocation Failure)  18459K->5723K(22528K), 0.0096167 secs]
[GC (Allocation Failure)  18011K->5307K(22528K), 0.0038543 secs]
[GC (Allocation Failure)  17595K->6955K(22528K), 0.0267582 secs]
[GC (Allocation Failure)  19243K->6827K(22528K), 0.0216858 secs]
[GC (Allocation Failure)  19115K->6411K(22528K), 0.0166232 secs]
[GC (Allocation Failure)  18699K->6027K(22528K), 0.0101459 secs]
[GC (Allocation Failure)  18315K->5611K(22528K), 0.0037838 secs]
[GC (Allocation Failure)  17899K->7219K(22528K), 0.0270376 secs]
[GC (Allocation Failure)  19507K->7091K(22528K), 0.0203455 secs]
[GC (Allocation Failure)  19379K->6675K(22528K), 0.0153371 secs]
[GC (Allocation Failure)  18963K->6291K(22528K), 0.0084377 secs]
[GC (Allocation Failure)  18579K->5843K(22528K), 0.0036443 secs]
[GC (Allocation Failure)  18131K->7547K(22528K), 0.0251067 secs]
[GC (Allocation Failure)  19835K->7355K(22528K), 0.0201093 secs]
[GC (Allocation Failure)  19643K->6907K(22528K), 0.0137502 secs]
[GC (Allocation Failure)  19195K->6555K(22528K), 0.0082825 secs]
[GC (Allocation Failure)  18843K->6107K(22528K), 0.0031382 secs]
[GC (Allocation Failure)  18395K->7835K(22528K), 0.0240533 secs]
[GC (Allocation Failure)  20123K->7611K(22528K), 0.0198907 secs]
[GC (Allocation Failure)  19899K->7131K(22528K), 0.0152287 secs]
[GC (Allocation Failure)  19419K->6779K(22528K), 0.0088681 secs]
[GC (Allocation Failure)  19067K->6363K(22528K), 0.0029817 secs]
[GC (Allocation Failure)  18651K->8059K(22528K), 0.0273483 secs]
[GC (Allocation Failure)  20347K->7867K(22528K), 0.0213149 secs]
[GC (Allocation Failure)  20155K->7483K(22528K), 0.0125066 secs]
[GC (Allocation Failure)  19771K->7035K(22528K), 0.0074445 secs]
[GC (Allocation Failure)  19323K->6619K(22528K), 0.0032581 secs]
[GC (Allocation Failure)  18907K->8275K(22528K), 0.0230457 secs]
[GC (Allocation Failure)  20563K->8083K(22528K), 0.0227806 secs]
[GC (Allocation Failure)  20371K->7699K(22528K), 0.0155188 secs]
[GC (Allocation Failure)  19987K->7315K(22528K), 0.0091021 secs]
[GC (Allocation Failure)  19603K->6835K(22528K), 0.0032693 secs]
[GC (Allocation Failure)  19123K->8619K(22528K), 0.0251497 secs]
[GC (Allocation Failure)  20907K->8331K(22528K), 0.0194380 secs]
[GC (Allocation Failure)  20619K->7947K(22528K), 0.0175911 secs]
[GC (Allocation Failure)  20235K->7531K(22528K), 0.0098164 secs]
[GC (Allocation Failure)  19819K->7115K(22528K), 0.0037316 secs]
[GC (Allocation Failure)  19403K->8795K(22528K), 0.0222358 secs]
[GC (Allocation Failure)  21083K->8603K(22528K), 0.0187627 secs]
[GC (Allocation Failure)  20891K->8123K(22528K), 0.0145356 secs]
[GC (Allocation Failure)  20411K->7675K(22528K), 0.0092448 secs]
[GC (Allocation Failure)  19963K->7323K(22528K), 0.0032630 secs]
[GC (Allocation Failure)  19611K->8971K(22528K), 0.0354806 secs]
[GC (Allocation Failure)  21259K->8811K(22528K), 0.0260044 secs]
[GC (Allocation Failure)  21099K->8395K(22528K), 0.0181321 secs]
[GC (Allocation Failure)  20683K->7979K(22528K), 0.0098704 secs]
[GC (Allocation Failure)  20267K->7563K(22528K), 0.0033527 secs]
[GC (Allocation Failure)  19851K->9195K(22528K), 0.0241942 secs]
[GC (Allocation Failure)  21483K->9035K(22528K), 0.0200669 secs]
[GC (Allocation Failure)  21323K->8555K(22528K), 0.0143254 secs]
[GC (Allocation Failure)  20843K->8139K(22528K), 0.0081733 secs]
[GC (Allocation Failure)  20427K->7787K(22528K), 0.0031726 secs]
[GC (Allocation Failure)  20075K->9443K(22528K), 0.0244233 secs]
[Full GC (Ergonomics)  9443K->3394K(22528K), 0.0220376 secs]
[GC (Allocation Failure)  15682K->4930K(22528K), 0.0237526 secs]
[GC (Allocation Failure)  17218K->4578K(22528K), 0.0163119 secs]
[GC (Allocation Failure)  16866K->4130K(22528K), 0.0109740 secs]
[GC (Allocation Failure)  16418K->3714K(22528K), 0.0035638 secs]
